FG	1991	1993	1995	1997	1999	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
[R]N([R])C([R])=O	35.19	38.21	38.05	38.52	38.68	36.51	40.63	39.45	37.59	35.42	40.25	41.48	40.96	40.88	38.51	39.00	38.98	38.57	41.84	41.62	37.73	37.95	42.82
[R]O[R]	28.61	27.51	29.22	33.08	34.16	34.13	38.73	39.07	38.57	36.22	36.56	41.33	36.22	38.25	38.02	40.08	40.69	42.19	40.47	41.99	42.49	41.55	41.89
[R]N([R])[R]	22.47	29.29	25.64	25.05	27.19	27.76	33.89	33.46	30.56	33.32	29.94	32.70	29.48	29.66	32.92	31.39	31.65	26.63	27.34	27.46	29.55	28.93	29.76
[R]F	9.26	10.22	13.82	12.03	14.17	16.35	16.04	17.69	20.18	20.58	25.84	26.13	24.10	23.47	27.39	26.07	23.73	24.98	24.72	26.52	25.53	27.26	25.54
[R]Cl	10.70	13.04	10.68	13.02	14.57	17.59	18.15	18.73	19.83	21.92	21.60	20.49	19.94	22.01	21.05	21.77	19.49	20.43	20.77	17.99	21.32	19.88	18.53
[R]N[R]	14.24	8.59	11.65	12.03	16.34	14.60	14.04	17.77	16.11	19.75	21.68	20.70	21.16	24.17	19.37	22.35	21.74	18.98	19.80	21.63	20.68	21.54	22.06
O[Cal]	25.37	21.56	16.42	15.61	15.68	17.48	15.51	14.09	13.29	14.71	12.29	15.13	14.23	13.48	13.89	12.52	12.63	12.36	12.94	13.79	13.14	12.04	13.01
[R]C(O)=O	19.60	21.88	19.08	17.33	12.10	14.72	12.16	11.12	13.27	11.64	12.44	10.95	10.69	10.68	10.74	10.63	10.86	9.30	11.87	11.39	13.13	11.01	14.37
O=[Car]	9.96	8.86	11.75	8.05	8.09	9.45	8.39	11.19	8.05	10.17	13.07	11.53	12.93	14.67	14.21	13.32	14.84	14.90	14.35	16.48	15.47	16.40	13.54
O[Car]	15.84	14.55	12.85	13.10	10.81	13.38	11.11	11.73	10.70	12.07	12.91	9.48	8.86	9.25	8.50	8.21	7.83	9.59	11.09	10.80	9.95	9.47	11.76
[R]N([R])S([R])(=O)=O	4.05	4.40	3.92	8.39	12.50	14.62	12.97	10.75	9.72	8.43	8.02	9.27	7.54	10.37	6.56	7.93	9.28	11.67	10.84	8.50	10.11	10.37	10.14
N[Car]	9.12	5.29	4.60	5.68	5.40	6.70	6.23	6.50	7.54	7.06	6.20	5.32	7.26	7.48	5.58	6.97	7.18	7.09	6.41	6.98	6.57	8.83	5.83
N[Cal]	7.07	7.23	4.98	4.97	7.72	7.68	5.52	6.84	7.63	7.89	7.52	9.52	7.31	6.35	4.85	5.84	4.38	5.80	4.59	7.68	7.75	5.83	6.11
[R]OC([R])=O	9.50	8.88	7.89	6.97	7.55	6.62	7.73	5.20	3.95	4.99	5.13	4.61	5.88	3.59	4.53	4.38	4.48	4.84	5.42	5.03	4.20	3.99	4.30
C=C	7.27	9.70	8.63	7.86	6.42	6.10	4.45	7.04	5.47	6.65	4.86	5.90	4.39	4.98	4.14	3.83	4.47	3.37	4.23	4.25	3.33	4.31	5.98
[R]C([R])=O	4.07	5.63	9.61	7.44	6.26	5.40	7.27	5.46	5.23	6.09	5.26	4.77	6.55	4.51	4.81	4.49	4.45	3.60	4.78	5.01	3.20	3.41	3.93
[R]N([R])C(=O)N([R])[R]	1.21	6.64	6.04	6.19	6.26	4.68	6.09	4.73	4.23	6.49	6.77	6.18	4.52	5.65	5.83	5.39	5.80	6.57	5.00	4.03	3.80	3.45	4.52
[R]S[R]	4.10	7.09	7.57	4.83	4.06	5.29	5.43	4.29	5.43	5.08	4.44	3.77	4.98	5.03	4.55	4.47	4.85	5.01	4.49	4.22	5.77	3.70	4.55
C#N	0.71	2.26	1.10	1.42	2.32	3.62	3.45	4.47	4.25	6.16	6.92	6.06	5.19	5.57	5.47	4.53	5.18	7.53	4.64	5.70	4.73	5.80	6.10
[R]OC(=O)N([R])[R]	7.21	8.12	6.95	5.84	4.71	4.24	4.60	3.04	4.45	3.66	3.92	3.51	2.53	3.89	4.85	2.95	3.70	2.28	3.30	2.59	3.66	3.44	3.20
[R]Br	2.50	1.40	2.60	4.71	5.14	4.59	3.31	4.47	4.09	3.90	3.72	4.16	3.75	3.49	3.49	3.33	4.24	3.86	3.25	3.44	3.07	4.06	3.37
[R]S([R])(=O)=O	1.65	1.78	2.59	2.97	1.93	2.88	2.36	2.99	3.26	3.61	3.15	2.35	2.90	3.50	4.00	2.87	3.77	3.31	4.22	2.92	2.54	2.46	3.35
[R]N=C(N([R])[R])N([R])[R]	4.22	2.93	3.35	3.87	3.94	4.07	3.15	3.78	3.08	2.75	1.84	2.38	2.55	1.65	1.41	1.31	1.00	1.78	2.38	3.29	2.81	3.47	3.24
[R]N(=O)=O	1.89	2.10	1.84	2.20	2.29	3.54	2.10	1.69	2.18	1.76	2.04	2.33	2.21	1.37	1.95	1.68	2.15	1.83	2.03	2.38	1.72	2.32	2.19
C#C	1.79	1.79	1.34	2.08	2.23	2.48	2.16	1.39	1.47	1.72	2.29	3.20	1.84	2.04	1.36	2.20	1.48	2.31	1.69	2.10	1.64	2.02	2.17
[R]N(O)C([R])=O	1.44	0.26	1.14	1.06	4.06	4.57	3.03	3.61	1.70	1.49	1.06	3.14	1.79	1.00	1.37	1.42	1.51	1.66	1.37	1.29	1.87	2.02	2.62
[R]OCO[R]	0.69	2.41	3.39	3.73	1.83	2.13	3.46	2.18	2.56	1.49	1.61	1.28	1.60	1.88	1.92	1.95	1.44	1.47	1.23	1.63	0.94	1.27	1.36
[R]N=CN([R])[R]	1.59	0.40	0.54	1.19	4.25	4.67	6.28	3.72	2.92	1.03	2.17	0.65	0.82	1.39	0.65	1.05	1.14	0.65	1.05	0.86	0.93	0.71	0.66
[R]N([R])C(=O)C=C	0.65	0.59	0.51	0.62	1.68	1.36	0.78	1.30	1.23	1.52	0.97	0.69	1.07	1.26	0.45	0.62	1.56	1.04	1.12	1.50	1.54	3.50	2.25
C=[Car]	0.14	0.11	0.34	0.21	1.01	0.81	0.46	1.52	0.82	0.31	0.91	1.27	0.68	0.77	1.90	0.97	1.77	1.49	1.33	1.56	1.00	1.14	1.09
[R]I	1.01	0.86	1.09	1.05	0.91	1.25	1.28	1.16	0.77	1.21	0.96	0.71	0.60	0.74	0.62	0.68	0.68	0.76	0.93	0.46	0.65	0.66	0.42
[R]S	2.13	1.64	2.19	1.70	1.38	0.64	1.50	0.42	0.36	0.34	0.46	0.36	0.64	0.31	0.17	0.08	0.26	0.45	0.38	0.31	0.52	0.47	0.34
[R]SS[R]	1.24	1.44	1.06	0.21	0.81	1.04	0.64	0.98	0.45	1.27	0.34	0.37	0.42	0.40	0.26	0.56	0.17	0.35	0.45	1.49	1.23	0.84	0.67
[R]C(=O)C=C	0.55	0.55	0.59	0.67	0.39	0.25	0.34	0.23	0.75	0.47	0.67	0.40	0.27	0.37	0.51	0.54	0.83	0.89	0.75	0.95	0.83	1.04	0.61
[R]N(C([R])=O)S([R])(=O)=O	0.29	0.77	2.14	0.47	0.72	0.21	0.50	0.07	0.19	0.18	0.74	0.57	0.43	0.47	0.37	0.36	0.65	0.50	0.90	0.40	0.66	0.53	0.89
